op,M,N,K,config,runtime_config,score,formula_ms,torch_ms,speedup
gemm_bias_act,1,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.001136,0.0182,0.0283,1.5543
gemm_bias_act,6,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.006814,0.017,0.0298,1.7521
gemm_bias_act,11,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.012492,0.017,0.0295,1.7324
gemm_bias_act,16,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.01817,0.0187,0.0296,1.5873
gemm_bias_act,21,2304,768,BM32_BN64_BK64_S2_T128,BM32_BN64_BK64_S2_T128,0.022897,0.0165,0.0298,1.8008
gemm_bias_act,26,2304,768,BM32_BN64_BK64_S2_T128,BM32_BN64_BK64_S2_T128,0.028348,0.0171,0.03,1.7541
gemm_bias_act,31,2304,768,BM32_BN64_BK64_S2_T128,BM32_BN64_BK64_S2_T128,0.0338,0.0172,0.0297,1.7278
gemm_bias_act,36,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.033713,0.0171,0.0297,1.7415
gemm_bias_act,41,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.038396,0.0187,0.0303,1.6176
gemm_bias_act,46,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.043078,0.0187,0.0304,1.6266
gemm_bias_act,51,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.043151,0.02,0.0306,1.5265
gemm_bias_act,56,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.047381,0.0191,0.0312,1.6349
gemm_bias_act,61,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.051612,0.0191,0.0308,1.611
gemm_bias_act,66,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.049255,0.0205,0.031,1.5123
gemm_bias_act,71,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.052987,0.0216,0.0306,1.4178
gemm_bias_act,76,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.056718,0.0208,0.0307,1.4786
gemm_bias_act,81,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.055548,0.0218,0.0307,1.4081
gemm_bias_act,86,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.058976,0.0205,0.0306,1.4941
gemm_bias_act,91,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.062405,0.0212,0.0311,1.4656
gemm_bias_act,96,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.065834,0.0203,0.0319,1.5736
gemm_bias_act,101,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.063309,0.0211,0.0316,1.5002
gemm_bias_act,106,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.066443,0.0211,0.0311,1.4729
gemm_bias_act,111,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.069577,0.0211,0.0314,1.4855
gemm_bias_act,116,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.067285,0.0222,0.0315,1.4191
gemm_bias_act,121,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.070185,0.0222,0.0311,1.3966
gemm_bias_act,126,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.073086,0.0201,0.0312,1.5509
