op,M,N,K,config,runtime_config,score,formula_ms,torch_ms,speedup
gemm,1,2304,768,BM16_BN128_BK64_SK2_S4_T256,BM16_BN128_BK64_SK2_S4_T256,0.001553,0.0141,0.0315,2.2339
gemm,6,2304,768,BM16_BN128_BK64_SK2_S4_T256,BM16_BN128_BK64_SK2_S4_T256,0.009319,0.0154,0.0658,4.2806
gemm,11,2304,768,BM16_BN128_BK64_SK2_S4_T256,BM16_BN128_BK64_SK2_S4_T256,0.017085,0.0151,0.0528,3.4944
gemm,16,2304,768,BM16_BN128_BK64_SK2_S4_T256,BM16_BN128_BK64_SK2_S4_T256,0.024851,0.0141,0.0473,3.3602
gemm,21,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.024416,0.0151,0.0451,2.9936
gemm,26,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.030229,0.0142,0.047,3.3032
gemm,31,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.036043,0.0148,0.0484,3.2674
gemm,36,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.039366,0.0147,0.0658,4.4704
gemm,41,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.044833,0.0145,0.0762,5.2733
gemm,46,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.050301,0.0143,0.0523,3.6509
gemm,51,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.05355,0.0165,0.0443,2.6877
gemm,56,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.0588,0.0158,0.0399,2.5346
gemm,61,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.064051,0.0174,0.0762,4.3829
gemm,66,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.067287,0.0168,0.0505,3.0003
gemm,71,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.072384,0.0178,0.0593,3.3298
gemm,76,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.077482,0.017,0.0731,4.3069
gemm,81,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.075276,0.0179,0.0622,3.4766
gemm,86,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.079923,0.0183,0.0771,4.2103
gemm,91,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.084569,0.0175,0.0463,2.6386
gemm,96,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.089216,0.0176,0.05,2.831
gemm,101,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.088431,0.0227,0.0479,2.1116
gemm,106,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.092808,0.0235,0.0461,1.959
gemm,111,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.097186,0.0229,0.0787,3.4411
gemm,116,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.096379,0.0227,0.0576,2.5377
gemm,121,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.100533,0.0247,0.0503,2.0411
gemm,126,2304,768,BM16_BN128_BK64_SK2_S4_T128,BM16_BN128_BK64_SK2_S4_T128,0.104687,0.0242,0.048,1.9781
gemm_bias_act,1,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.001136,0.0182,0.0283,1.5543
gemm_bias_act,6,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.006814,0.017,0.0298,1.7521
gemm_bias_act,11,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.012492,0.017,0.0295,1.7324
gemm_bias_act,16,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.01817,0.0187,0.0296,1.5873
gemm_bias_act,21,2304,768,BM32_BN64_BK64_S2_T128,BM32_BN64_BK64_S2_T128,0.022897,0.0165,0.0298,1.8008
gemm_bias_act,26,2304,768,BM32_BN64_BK64_S2_T128,BM32_BN64_BK64_S2_T128,0.028348,0.0171,0.03,1.7541
gemm_bias_act,31,2304,768,BM32_BN64_BK64_S2_T128,BM32_BN64_BK64_S2_T128,0.0338,0.0172,0.0297,1.7278
gemm_bias_act,36,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.033713,0.0171,0.0297,1.7415
gemm_bias_act,41,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.038396,0.0187,0.0303,1.6176
gemm_bias_act,46,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.043078,0.0187,0.0304,1.6266
gemm_bias_act,51,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.043151,0.02,0.0306,1.5265
gemm_bias_act,56,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.047381,0.0191,0.0312,1.6349
gemm_bias_act,61,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.051612,0.0191,0.0308,1.611
gemm_bias_act,66,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.049255,0.0205,0.031,1.5123
gemm_bias_act,71,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.052987,0.0216,0.0306,1.4178
gemm_bias_act,76,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.056718,0.0208,0.0307,1.4786
gemm_bias_act,81,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.055548,0.0218,0.0307,1.4081
gemm_bias_act,86,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.058976,0.0205,0.0306,1.4941
gemm_bias_act,91,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.062405,0.0212,0.0311,1.4656
gemm_bias_act,96,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.065834,0.0203,0.0319,1.5736
gemm_bias_act,101,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.063309,0.0211,0.0316,1.5002
gemm_bias_act,106,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.066443,0.0211,0.0311,1.4729
gemm_bias_act,111,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.069577,0.0211,0.0314,1.4855
gemm_bias_act,116,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.067285,0.0222,0.0315,1.4191
gemm_bias_act,121,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.070185,0.0222,0.0311,1.3966
gemm_bias_act,126,2304,768,BM16_BN256_BK64_S2_T256,BM16_BN256_BK64_S2_T256,0.073086,0.0201,0.0312,1.5509
gemm_bias_layernorm,1,2304,768,BM16_BN128_BK64_S2_T256,BM16_BN128_BK64_S2_T256,0.000498,0.0487,0.049,1.0065
gemm_bias_layernorm,6,2304,768,BM16_BN128_BK64_S2_T256,BM16_BN128_BK64_S2_T256,0.002989,0.0481,0.0586,1.2171
gemm_bias_layernorm,11,2304,768,BM16_BN128_BK64_S2_T256,BM16_BN128_BK64_S2_T256,0.00548,0.0446,0.0856,1.9192
gemm_bias_layernorm,16,2304,768,BM16_BN128_BK64_S2_T256,BM16_BN128_BK64_S2_T256,0.007971,0.0469,0.062,1.3204
gemm_bias_layernorm,21,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.00821,0.046,0.0668,1.4511
gemm_bias_layernorm,26,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.010164,0.0436,0.0557,1.2772
gemm_bias_layernorm,31,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.012119,0.05,0.0611,1.223
gemm_bias_layernorm,36,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.012537,0.046,0.054,1.175
gemm_bias_layernorm,41,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.014279,0.0427,0.0698,1.6365
gemm_bias_layernorm,46,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.01602,0.0449,0.0951,2.1189
gemm_bias_layernorm,51,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.015759,0.0477,0.052,1.0897
gemm_bias_layernorm,56,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.017304,0.0439,0.0541,1.2332
gemm_bias_layernorm,61,2304,768,BM32_BN128_BK64_S2_T256,BM32_BN128_BK64_S2_T256,0.018849,0.0482,0.0893,1.8506
gemm_bias_layernorm,66,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.016823,0.047,0.0899,1.9117
gemm_bias_layernorm,71,2304,768,BM16_BN128_BK64_S2_T128,BM16_BN128_BK64_S2_T128,0.018097,0.0488,0.0565,1.1573
